applicant_id,age,employment_type,tier_city,cibil_score,monthly_income,existing_obligations
APP-000064,43,Salaried,Tier 1,794,65376,12055
APP-000065,54,Salaried,Tier 1,742,118102,33400
APP-000066,28,Salaried,Tier 2,817,35264,9554
APP-000067,34,Salaried,Tier 2,769,81582,13032
APP-000068,34,Self-Employed,Tier 2,674,86048,9378
APP-000069,48,Salaried,Tier 2,742,76439,27294
APP-000070,31,Self-Employed,Tier 3,620,206714,51535
APP-000071,30,Self-Employed,Tier 3,809,86090,19313
APP-000072,50,Salaried,Tier 3,900,97140,31946
APP-000073,46,Salaried,Tier 2,780,152959,16817
APP-000074,53,Self-Employed,Tier 2,643,91588,30184
APP-000075,36,Self-Employed,Tier 3,800,45454,10121
APP-000076,34,Self-Employed,Tier 1,736,206003,54691
APP-000077,49,Self-Employed,Tier 1,749,100763,32821
APP-000078,36,Salaried,Tier 2,815,36632,9672
APP-000079,37,Salaried,Tier 1,813,89694,10631
APP-000080,39,Salaried,Tier 3,680,110821,35305
APP-000081,52,Self-Employed,Tier 2,679,81643,27424
APP-000082,54,Salaried,Tier 2,699,101764,24277
APP-000083,54,Salaried,Tier 2,702,81841,18964
APP-000084,45,Salaried,Tier 2,752,65803,11553
APP-000085,37,Salaried,Tier 1,717,100105,29355
APP-000086,43,Salaried,Tier 2,822,80461,29335
APP-000087,40,Self-Employed,Tier 2,750,44300,13147
APP-000088,35,Salaried,Tier 2,739,31409,10408
APP-000089,25,Self-Employed,Tier 2,796,46978,16500
APP-000090,42,Salaried,Tier 1,799,79616,13363
APP-000091,31,Salaried,Tier 1,721,167934,37051
APP-000092,36,Self-Employed,Tier 1,676,94757,21868
APP-000093,42,Self-Employed,Tier 2,719,74654,19982
APP-000094,36,Salaried,Tier 3,714,63560,7293
APP-000095,33,Self-Employed,Tier 3,721,44215,12226
APP-000096,41,Salaried,Tier 2,743,94643,11977
APP-000097,28,Salaried,Tier 2,742,32664,11170
APP-000098,48,Salaried,Tier 2,760,70114,27267
APP-000099,53,Salaried,Tier 1,691,286611,53575
APP-000100,51,Salaried,Tier 1,756,221559,55829
APP-000101,52,Salaried,Tier 3,722,76354,26491
APP-000102,48,Salaried,Tier 2,747,33764,6563
APP-000103,53,Salaried,Tier 3,778,25965,3825
APP-000104,28,Salaried,Tier 2,691,37577,12089
APP-000105,52,Self-Employed,Tier 2,720,92931,28762
APP-000106,54,Salaried,Tier 1,735,58103,15744
APP-000107,52,Salaried,Tier 1,719,173033,66328
APP-000108,44,Self-Employed,Tier 2,788,160183,61916
APP-000109,44,Salaried,Tier 2,711,113839,40807
APP-000110,53,Salaried,Tier 1,717,96263,18088
APP-000111,25,Salaried,Tier 1,711,57976,9717
APP-000112,54,Salaried,Tier 1,783,41599,14589
APP-000113,27,Self-Employed,Tier 2,739,70994,20972
APP-000114,43,Self-Employed,Tier 2,706,41725,9131
APP-000115,45,Salaried,Tier 1,819,143946,32089
APP-000116,32,Self-Employed,Tier 1,677,106613,37954
APP-000117,45,Self-Employed,Tier 1,797,42953,6398
APP-000118,44,Salaried,Tier 2,806,33789,12947
APP-000119,47,Self-Employed,Tier 1,758,46804,13571
APP-000120,25,Salaried,Tier 2,739,57788,19498
APP-000121,30,Self-Employed,Tier 1,595,59969,12669
APP-000122,33,Self-Employed,Tier 1,718,166859,46064
APP-000123,42,Salaried,Tier 3,708,59919,19473
APP-000124,33,Salaried,Tier 2,715,101240,23339
APP-000125,47,Salaried,Tier 1,829,64131,15800
APP-000126,47,Salaried,Tier 3,707,29184,8014
APP-000127,44,Self-Employed,Tier 2,644,46706,5559
APP-000128,34,Self-Employed,Tier 3,852,33570,12050
APP-000129,40,Salaried,Tier 2,762,79340,28562
APP-000130,45,Salaried,Tier 2,745,102973,18990
APP-000131,36,Salaried,Tier 3,783,27667,10069
APP-000132,30,Salaried,Tier 1,766,91173,29499
APP-000133,38,Salaried,Tier 2,684,106550,26100
APP-000134,46,Salaried,Tier 2,707,27458,5610
APP-000135,32,Self-Employed,Tier 1,775,78222,17194
APP-000136,39,Salaried,Tier 1,731,81419,21195
APP-000137,34,Salaried,Tier 1,787,72569,16237
APP-000138,52,Self-Employed,Tier 2,646,78617,17773
APP-000139,29,Salaried,Tier 2,701,87074,14013
APP-000140,50,Self-Employed,Tier 2,667,80921,25275
APP-000141,44,Self-Employed,Tier 1,769,49876,14108
APP-000142,51,Salaried,Tier 2,717,136176,54139
APP-000143,53,Salaried,Tier 3,748,42810,6094
APP-000144,40,Salaried,Tier 2,760,14925,2001
APP-000145,48,Salaried,Tier 2,676,24336,6200
APP-000146,50,Salaried,Tier 2,739,56475,8222
APP-000147,32,Salaried,Tier 2,716,50727,14365
APP-000148,35,Salaried,Tier 2,714,45789,7272
APP-000149,27,Salaried,Tier 3,745,64543,15806
APP-000150,26,Salaried,Tier 2,717,109121,30924
APP-000151,25,Self-Employed,Tier 3,664,75132,17837
APP-000152,25,Salaried,Tier 1,787,188265,36899
APP-000153,44,Salaried,Tier 1,787,28373,9496
APP-000154,34,Salaried,Tier 1,720,87110,31045
APP-000155,42,Self-Employed,Tier 2,659,84980,15586
APP-000156,40,Salaried,Tier 2,743,63196,21740
APP-000157,43,Self-Employed,Tier 1,784,164121,35694
APP-000158,40,Self-Employed,Tier 1,711,48850,12031
APP-000159,27,Salaried,Tier 3,692,65061,11029
APP-000160,31,Self-Employed,Tier 3,640,132052,37993
APP-000161,30,Salaried,Tier 2,723,45900,5979
APP-000162,35,Salaried,Tier 2,767,39753,11031
APP-000163,29,Salaried,Tier 2,766,24773,9832
APP-000164,33,Salaried,Tier 2,784,87055,28383
APP-000165,28,Salaried,Tier 3,689,45024,16591
APP-000166,36,Self-Employed,Tier 1,768,105883,25333
APP-000167,34,Salaried,Tier 2,710,67776,9666
APP-000168,27,Salaried,Tier 2,691,50543,9428
APP-000169,47,Salaried,Tier 2,722,35336,4053
APP-000170,31,Salaried,Tier 2,782,91423,22905
APP-000171,26,Self-Employed,Tier 2,665,58282,17187
APP-000172,49,Salaried,Tier 1,802,165236,37565
APP-000173,32,Salaried,Tier 2,761,81001,21786
APP-000174,37,Salaried,Tier 1,724,91237,17901
APP-000175,39,Salaried,Tier 1,786,182754,22982
APP-000176,25,Salaried,Tier 1,757,53405,12261
APP-000177,26,Self-Employed,Tier 2,704,90228,23850
APP-000178,51,Salaried,Tier 2,814,71690,28302
APP-000179,42,Self-Employed,Tier 2,642,82139,16771
APP-000180,48,Salaried,Tier 2,740,86057,26103
APP-000181,51,Salaried,Tier 2,705,49117,17033
APP-000182,43,Salaried,Tier 2,787,48205,9670
APP-000183,31,Self-Employed,Tier 2,758,182297,69086
APP-000184,54,Self-Employed,Tier 2,691,116178,23427
APP-000185,50,Salaried,Tier 2,719,58448,22849
APP-000186,53,Self-Employed,Tier 2,735,84239,8478
APP-000187,46,Self-Employed,Tier 3,741,37464,10874
APP-000188,26,Salaried,Tier 3,713,44380,14955
APP-000189,40,Salaried,Tier 1,683,142777,26273
APP-000190,49,Salaried,Tier 1,763,124780,16859
APP-000191,40,Salaried,Tier 2,677,69472,7455
APP-000192,49,Self-Employed,Tier 2,749,102941,12591
APP-000193,47,Self-Employed,Tier 1,761,77650,20414
APP-000194,28,Salaried,Tier 3,788,102057,35898
APP-000195,41,Salaried,Tier 1,724,137523,16356
APP-000196,38,Salaried,Tier 3,784,204764,27428
APP-000197,32,Self-Employed,Tier 2,595,137799,13990
APP-000198,33,Self-Employed,Tier 2,789,126257,23317
APP-000199,32,Self-Employed,Tier 1,632,104107,39183
APP-000200,42,Self-Employed,Tier 1,642,80730,14764
APP-000201,31,Salaried,Tier 2,751,69313,16097
APP-000202,50,Salaried,Tier 1,849,52930,8134
APP-000203,37,Salaried,Tier 2,742,77147,10406
APP-000204,25,Self-Employed,Tier 2,643,39700,6142
APP-000205,45,Salaried,Tier 1,771,129667,21152
APP-000206,53,Salaried,Tier 1,741,79831,11103
APP-000207,32,Salaried,Tier 2,671,39022,13168
APP-000208,33,Self-Employed,Tier 1,703,52993,12886
APP-000209,50,Salaried,Tier 1,659,206520,54093
APP-000210,43,Salaried,Tier 2,723,40176,8533
APP-000211,48,Salaried,Tier 3,788,45261,7387
APP-000212,39,Self-Employed,Tier 2,803,29343,3760
APP-000213,27,Self-Employed,Tier 1,772,83357,10234
APP-000214,48,Salaried,Tier 2,775,22628,3519
APP-000215,51,Self-Employed,Tier 3,823,51556,18305
APP-000216,45,Salaried,Tier 2,691,62304,10277
APP-000217,47,Salaried,Tier 2,750,24887,5137
APP-000218,35,Self-Employed,Tier 2,703,36183,9835
APP-000219,38,Salaried,Tier 2,690,58101,14724
APP-000220,36,Self-Employed,Tier 1,667,143045,42877
APP-000221,52,Self-Employed,Tier 2,719,55537,8791
APP-000222,46,Salaried,Tier 2,725,69148,17785
APP-000223,29,Salaried,Tier 3,728,25956,8573
APP-000224,26,Salaried,Tier 1,758,58420,12633
APP-000225,49,Salaried,Tier 1,787,78537,30752
APP-000226,47,Salaried,Tier 2,728,44440,12149
APP-000227,31,Self-Employed,Tier 2,613,23566,7127
APP-000228,29,Salaried,Tier 2,762,52376,12451
APP-000229,27,Self-Employed,Tier 1,701,131045,46829
APP-000230,49,Salaried,Tier 1,741,91099,21448
APP-000231,54,Self-Employed,Tier 2,702,65212,24955
APP-000232,34,Salaried,Tier 2,721,50537,9715
APP-000233,35,Salaried,Tier 3,753,58088,20896
APP-000234,32,Salaried,Tier 2,812,34415,10042
APP-000235,30,Salaried,Tier 2,720,59731,20291
APP-000236,52,Self-Employed,Tier 2,830,46837,5213
APP-000237,36,Salaried,Tier 2,726,34118,6249
APP-000238,37,Salaried,Tier 2,744,87322,30922
APP-000239,26,Salaried,Tier 3,800,27241,5325
APP-000240,47,Salaried,Tier 1,770,75522,23698
APP-000241,45,Self-Employed,Tier 2,787,80303,31933
APP-000242,40,Self-Employed,Tier 1,713,101126,15487
APP-000243,48,Self-Employed,Tier 2,710,100228,22577
APP-000244,46,Salaried,Tier 2,745,45516,6806
APP-000245,50,Salaried,Tier 1,694,98995,14481
APP-000246,37,Self-Employed,Tier 3,800,32853,9524
APP-000247,33,Salaried,Tier 1,768,127819,20120
APP-000248,37,Self-Employed,Tier 2,740,37073,9075
APP-000249,39,Self-Employed,Tier 3,751,40302,15854
APP-000250,32,Self-Employed,Tier 1,769,79556,15906
APP-000251,47,Salaried,Tier 2,772,59174,21426
APP-000252,41,Salaried,Tier 1,730,56652,12401
APP-000253,34,Self-Employed,Tier 1,789,108743,19449
APP-000254,33,Salaried,Tier 2,701,78865,15842
APP-000255,48,Salaried,Tier 3,753,55643,7695
APP-000256,41,Salaried,Tier 1,720,175585,53324
APP-000257,53,Self-Employed,Tier 2,754,59083,14930
APP-000258,41,Self-Employed,Tier 2,764,45336,12882
APP-000259,43,Salaried,Tier 3,765,42172,8051
APP-000260,43,Salaried,Tier 1,692,122961,36401
APP-000261,26,Salaried,Tier 2,713,38592,5764
APP-000262,35,Self-Employed,Tier 2,717,39796,11769
APP-000263,32,Salaried,Tier 2,717,96513,12000
APP-000264,45,Salaried,Tier 3,784,30036,6610
APP-000265,41,Self-Employed,Tier 3,639,35600,10072
APP-000266,25,Self-Employed,Tier 1,661,99711,35556
APP-000267,42,Self-Employed,Tier 2,871,49213,16915
APP-000268,31,Self-Employed,Tier 2,735,119135,30746
APP-000269,33,Salaried,Tier 2,747,33400,12191
APP-000270,49,Salaried,Tier 2,781,62124,15641
APP-000271,33,Self-Employed,Tier 2,782,88072,22471
APP-000272,34,Self-Employed,Tier 2,866,38063,12034
APP-000273,40,Self-Employed,Tier 3,670,138298,50248
APP-000274,35,Self-Employed,Tier 1,704,138377,38858
APP-000275,30,Salaried,Tier 3,703,77230,29598
APP-000276,51,Salaried,Tier 2,687,42658,7242
APP-000277,36,Self-Employed,Tier 2,783,126223,47623
APP-000278,45,Salaried,Tier 3,679,69680,11601
APP-000279,52,Self-Employed,Tier 2,756,170866,44070
APP-000280,34,Self-Employed,Tier 2,861,107962,36578
APP-000281,40,Self-Employed,Tier 2,675,90991,30980
APP-000282,50,Salaried,Tier 2,720,37139,6813
APP-000283,54,Salaried,Tier 3,755,62437,24710
APP-000284,51,Salaried,Tier 3,718,51106,6346
APP-000285,48,Salaried,Tier 1,740,29484,3256
APP-000286,46,Salaried,Tier 1,769,181890,64108
APP-000287,48,Salaried,Tier 2,731,38164,13193
APP-000288,38,Salaried,Tier 1,702,78897,24761
APP-000289,41,Salaried,Tier 2,728,57056,20268
APP-000290,44,Salaried,Tier 1,796,219596,31021
APP-000291,50,Salaried,Tier 2,807,89340,11498
APP-000292,29,Salaried,Tier 1,659,82098,32085
APP-000293,28,Self-Employed,Tier 2,593,89915,25830
APP-000294,53,Salaried,Tier 2,750,76390,28719
APP-000295,46,Salaried,Tier 2,776,25417,9453
APP-000296,37,Salaried,Tier 3,717,39472,11681
APP-000297,31,Self-Employed,Tier 3,775,136845,39485
APP-000298,35,Salaried,Tier 2,763,88658,18439
APP-000299,35,Salaried,Tier 1,702,173632,25130
APP-000300,48,Salaried,Tier 3,684,75735,23173
APP-000301,48,Salaried,Tier 3,687,39499,13641
APP-000302,45,Salaried,Tier 3,764,20989,5528
APP-000303,48,Salaried,Tier 1,745,153600,17704
APP-000304,36,Salaried,Tier 3,771,62172,8920
APP-000305,27,Self-Employed,Tier 1,626,62280,8133
APP-000306,36,Self-Employed,Tier 2,817,31940,9497
APP-000307,27,Salaried,Tier 3,737,33638,9063
APP-000308,25,Salaried,Tier 1,719,110480,26509
APP-000309,34,Self-Employed,Tier 3,651,121599,31983
APP-000310,25,Salaried,Tier 2,701,26326,4812
APP-000311,25,Salaried,Tier 3,755,134375,45878
APP-000312,50,Salaried,Tier 1,783,68145,13531
APP-000313,35,Salaried,Tier 3,707,32404,9503
APP-000314,40,Self-Employed,Tier 1,744,77159,16763
APP-000315,27,Self-Employed,Tier 2,755,42527,5173
APP-000316,48,Self-Employed,Tier 2,633,62858,11131
APP-000317,49,Salaried,Tier 2,672,38615,15041
APP-000318,27,Salaried,Tier 1,667,173786,27312
APP-000319,53,Salaried,Tier 2,745,40978,5387
APP-000320,53,Salaried,Tier 1,771,182297,34152
APP-000321,32,Salaried,Tier 2,713,77366,28113
APP-000322,51,Self-Employed,Tier 1,668,64749,12419
APP-000323,37,Self-Employed,Tier 3,776,101394,22835
APP-000324,40,Salaried,Tier 1,703,196148,37861
APP-000325,39,Self-Employed,Tier 1,717,279685,110948
APP-000326,34,Self-Employed,Tier 1,723,115833,46328
APP-000327,41,Salaried,Tier 2,690,41851,10246
APP-000328,27,Salaried,Tier 1,761,92738,31108
APP-000329,38,Salaried,Tier 2,727,64444,10698
APP-000330,25,Salaried,Tier 3,768,99603,21144
APP-000331,50,Salaried,Tier 2,790,79632,24192
APP-000332,33,Self-Employed,Tier 2,765,79404,14761
APP-000333,43,Salaried,Tier 1,784,104855,17553
APP-000334,50,Salaried,Tier 2,828,77762,29290
APP-000335,54,Salaried,Tier 1,742,88374,15314
APP-000336,34,Salaried,Tier 2,771,65373,7699
APP-000337,45,Self-Employed,Tier 1,662,88026,28637
APP-000338,35,Self-Employed,Tier 2,784,33587,5809
APP-000339,50,Salaried,Tier 2,732,64776,15225
APP-000340,50,Salaried,Tier 3,771,67381,8993
APP-000341,38,Salaried,Tier 1,788,77218,9308
APP-000342,40,Salaried,Tier 2,735,46238,11010
APP-000343,31,Salaried,Tier 1,801,67901,13656
APP-000344,54,Salaried,Tier 2,801,65184,16411
APP-000345,33,Salaried,Tier 3,773,46240,18021
APP-000346,37,Salaried,Tier 2,719,45820,10181
APP-000347,31,Salaried,Tier 2,715,44944,12620
APP-000348,25,Salaried,Tier 3,707,56170,7261
APP-000349,47,Salaried,Tier 2,777,143421,52459
APP-000350,31,Salaried,Tier 2,691,57180,19541
APP-000351,26,Salaried,Tier 2,767,76402,19614
APP-000352,47,Self-Employed,Tier 2,804,60827,9428
APP-000353,26,Self-Employed,Tier 1,670,52518,11962
APP-000354,25,Salaried,Tier 3,740,59154,11192
APP-000355,33,Salaried,Tier 2,793,87963,35040
APP-000356,34,Salaried,Tier 1,785,82903,20497
APP-000357,34,Salaried,Tier 2,797,55244,12522
APP-000358,29,Salaried,Tier 2,798,53242,8024
APP-000359,31,Self-Employed,Tier 1,697,101999,17516
APP-000360,34,Salaried,Tier 2,693,100714,31571
APP-000361,46,Salaried,Tier 3,697,47883,12472
APP-000362,48,Salaried,Tier 3,656,124829,25890
APP-000363,50,Salaried,Tier 3,696,67666,12795
APP-000364,27,Salaried,Tier 3,742,120927,19375
APP-000365,36,Self-Employed,Tier 1,727,109948,12112
APP-000366,44,Salaried,Tier 2,732,41498,16314
APP-000367,40,Self-Employed,Tier 3,712,100872,32877
APP-000368,42,Self-Employed,Tier 2,670,45228,17112
APP-000369,40,Salaried,Tier 2,695,113864,25478
APP-000370,45,Salaried,Tier 2,737,79966,28852
APP-000371,51,Salaried,Tier 2,704,124521,22024
APP-000372,34,Salaried,Tier 3,729,36745,9294
APP-000373,51,Salaried,Tier 2,793,96592,15526
APP-000374,25,Self-Employed,Tier 2,700,41300,13674
APP-000375,40,Salaried,Tier 3,810,18066,4503
APP-000376,29,Salaried,Tier 2,797,93709,24446
APP-000377,48,Self-Employed,Tier 1,643,207593,74284
APP-000378,36,Salaried,Tier 2,695,96877,31171
APP-000379,40,Self-Employed,Tier 3,682,62693,24442
APP-000380,51,Salaried,Tier 2,786,60520,13411
APP-000381,46,Salaried,Tier 2,720,126608,30187
APP-000382,38,Self-Employed,Tier 2,714,63522,18078
APP-000383,34,Salaried,Tier 1,788,124056,29276
APP-000384,49,Self-Employed,Tier 3,858,57286,12940
APP-000385,40,Self-Employed,Tier 3,634,64784,13097
APP-000386,53,Self-Employed,Tier 1,718,37298,13038
APP-000387,39,Salaried,Tier 1,746,61344,15952
APP-000388,46,Salaried,Tier 3,712,118119,33335
APP-000389,35,Self-Employed,Tier 3,644,58425,9419
APP-000390,49,Self-Employed,Tier 3,654,48514,8515
APP-000391,30,Self-Employed,Tier 3,724,72684,14677
APP-000392,51,Salaried,Tier 2,770,143167,34304
APP-000393,43,Salaried,Tier 2,720,75704,8568
APP-000394,39,Self-Employed,Tier 2,695,66648,24427
APP-000395,51,Salaried,Tier 1,739,70798,26274
APP-000396,53,Self-Employed,Tier 2,652,35075,10470
APP-000397,37,Self-Employed,Tier 2,719,60579,11801
APP-000398,52,Salaried,Tier 2,716,61131,13179
APP-000399,43,Self-Employed,Tier 2,719,22787,7296
APP-000400,25,Self-Employed,Tier 2,790,41631,7738
APP-000401,54,Salaried,Tier 1,713,304732,86140
APP-000402,34,Self-Employed,Tier 1,729,121393,45143
APP-000403,48,Salaried,Tier 1,760,113008,25215
APP-000404,35,Self-Employed,Tier 1,625,70735,19530
APP-000405,36,Salaried,Tier 3,681,38339,14514
APP-000406,54,Self-Employed,Tier 1,646,106810,21594
APP-000407,38,Salaried,Tier 1,763,95662,31366
APP-000408,40,Salaried,Tier 2,729,41314,13490
APP-000409,31,Self-Employed,Tier 2,655,22359,8463
APP-000410,45,Salaried,Tier 1,760,93876,33567
APP-000411,28,Salaried,Tier 2,778,89180,28952
APP-000412,40,Self-Employed,Tier 2,823,47355,13778
APP-000413,52,Self-Employed,Tier 1,721,68727,11845
APP-000414,43,Salaried,Tier 1,719,71116,21419
APP-000415,27,Salaried,Tier 3,732,36397,6658
APP-000416,33,Salaried,Tier 3,746,50978,11827
APP-000417,41,Salaried,Tier 2,739,82810,25912
APP-000418,28,Salaried,Tier 1,769,72249,21853
APP-000419,33,Self-Employed,Tier 2,725,99710,21972
APP-000420,38,Self-Employed,Tier 2,624,136872,21188
APP-000421,49,Self-Employed,Tier 1,695,35691,8752
APP-000422,50,Self-Employed,Tier 2,744,27038,4893
APP-000423,49,Salaried,Tier 2,813,51953,9176
APP-000424,36,Salaried,Tier 2,705,92827,18383
APP-000425,43,Salaried,Tier 2,731,56400,17589
APP-000426,45,Salaried,Tier 3,718,26644,6639
APP-000427,35,Salaried,Tier 2,717,45433,9629
APP-000428,28,Self-Employed,Tier 3,568,19221,7115
APP-000429,37,Salaried,Tier 1,796,64022,19977
APP-000430,38,Salaried,Tier 3,758,42511,10559
APP-000431,34,Salaried,Tier 1,707,72148,16333
APP-000432,40,Self-Employed,Tier 1,732,107149,37038
APP-000433,44,Salaried,Tier 2,743,30770,4673
APP-000434,44,Salaried,Tier 2,716,41810,12511
APP-000435,30,Salaried,Tier 3,796,33830,3596
APP-000436,36,Self-Employed,Tier 2,710,102300,10443
APP-000437,40,Salaried,Tier 1,806,291232,110532
APP-000438,32,Self-Employed,Tier 2,745,71685,18222
APP-000439,27,Self-Employed,Tier 2,662,69852,13588
APP-000440,54,Salaried,Tier 2,748,32854,11118
APP-000441,39,Salaried,Tier 2,791,66144,26156
APP-000442,53,Self-Employed,Tier 2,636,34167,3769
APP-000443,42,Salaried,Tier 3,694,61120,6808
APP-000444,32,Salaried,Tier 3,791,50429,17974
APP-000445,33,Self-Employed,Tier 1,682,50109,13379
APP-000446,53,Self-Employed,Tier 2,626,60727,22154
APP-000447,47,Self-Employed,Tier 2,730,84004,25906
APP-000448,44,Self-Employed,Tier 2,681,145470,35083
APP-000449,47,Salaried,Tier 2,741,78864,11703
APP-000450,36,Salaried,Tier 3,733,187024,40576
APP-000451,52,Self-Employed,Tier 2,742,66201,22253
APP-000452,39,Salaried,Tier 3,763,146084,24859
APP-000453,36,Salaried,Tier 3,766,74443,23353
APP-000454,39,Self-Employed,Tier 3,724,67500,11758
APP-000455,42,Salaried,Tier 3,812,55043,13158
APP-000456,27,Salaried,Tier 2,739,69532,8735
APP-000457,53,Salaried,Tier 1,719,96901,22917
APP-000458,50,Salaried,Tier 2,764,29474,8365
APP-000459,42,Salaried,Tier 1,694,91930,24728
APP-000460,32,Salaried,Tier 2,712,28509,6327
APP-000461,42,Salaried,Tier 2,779,85015,17930
APP-000462,34,Salaried,Tier 2,735,80779,14751
APP-000463,31,Self-Employed,Tier 3,794,121859,40229
APP-000464,26,Salaried,Tier 3,680,38907,13025
APP-000465,42,Self-Employed,Tier 1,746,163721,40096
APP-000466,34,Salaried,Tier 2,785,104154,22369
APP-000467,43,Salaried,Tier 2,785,34981,10187
APP-000468,27,Self-Employed,Tier 2,713,33302,8902
APP-000469,30,Salaried,Tier 2,820,66456,19948
APP-000470,34,Self-Employed,Tier 2,664,58492,11219
APP-000471,44,Salaried,Tier 2,734,64710,21775
APP-000472,49,Self-Employed,Tier 3,695,78343,15278
APP-000473,34,Salaried,Tier 3,722,78562,17724
APP-000474,37,Self-Employed,Tier 1,679,178676,24965
APP-000475,45,Salaried,Tier 2,802,61333,21872
APP-000476,48,Self-Employed,Tier 2,697,57902,16981
APP-000477,34,Salaried,Tier 1,758,179859,30681
APP-000478,43,Salaried,Tier 1,781,63834,22693
APP-000479,38,Self-Employed,Tier 2,657,87395,27218
APP-000480,53,Salaried,Tier 2,648,101165,23536
APP-000481,35,Salaried,Tier 1,749,82230,32641
APP-000482,49,Self-Employed,Tier 2,816,79241,15940
APP-000483,44,Salaried,Tier 2,702,36486,4738
APP-000484,40,Salaried,Tier 1,729,126782,40575
APP-000485,27,Salaried,Tier 1,693,67105,21951
APP-000486,37,Self-Employed,Tier 3,692,60735,7147
APP-000487,38,Salaried,Tier 1,781,163257,56458
APP-000488,33,Salaried,Tier 3,739,66652,22180
APP-000489,28,Self-Employed,Tier 2,715,68085,25795
APP-000490,46,Self-Employed,Tier 2,727,82724,11214
APP-000491,38,Salaried,Tier 1,725,212911,59666
APP-000492,35,Salaried,Tier 1,736,92985,15419
APP-000493,36,Salaried,Tier 1,762,50578,11118
APP-000494,47,Salaried,Tier 1,778,51467,9239
APP-000495,41,Salaried,Tier 2,752,31340,7358
APP-000496,40,Salaried,Tier 1,784,61855,8280
APP-000497,25,Salaried,Tier 2,728,93106,17788
APP-000498,40,Salaried,Tier 2,700,104771,12706
APP-000499,42,Self-Employed,Tier 1,769,128546,31821
APP-000500,50,Self-Employed,Tier 1,787,75970,14358
APP-000501,35,Self-Employed,Tier 1,748,97123,26912
APP-000502,53,Salaried,Tier 1,686,40408,9574
