loan_id,applicant_id,sanction_amount,ltv_ratio,interest_rate,tenure_months,branch_code
LN-000204,APP-000204,1700000,0.88,10.0,240,BR-001
LN-000205,APP-000205,7900000,0.76,8.5,180,BR-001
LN-000206,APP-000206,4400000,0.7,9.25,240,BR-001
LN-000207,APP-000207,2400000,0.62,9.25,240,BR-005
LN-000208,APP-000208,2700000,0.76,9.25,180,BR-003
LN-000209,APP-000209,10900000,0.67,9.25,240,BR-002
LN-000210,APP-000210,2700000,0.8,9.25,240,BR-005
LN-000211,APP-000211,2100000,0.76,8.5,240,BR-005
LN-000212,APP-000212,1200000,0.78,8.5,240,BR-003
LN-000213,APP-000213,5800000,0.78,8.5,180,BR-002
LN-000214,APP-000214,900000,0.87,8.5,240,BR-001
LN-000215,APP-000215,3400000,0.64,8.5,360,BR-002
LN-000216,APP-000216,4000000,0.84,9.25,180,BR-003
LN-000217,APP-000217,1400000,0.89,9.25,180,BR-001
LN-000218,APP-000218,2200000,0.82,9.25,360,BR-005
LN-000219,APP-000219,2500000,0.64,9.25,180,BR-004
LN-000220,APP-000220,9000000,0.86,9.25,240,BR-005
LN-000221,APP-000221,3500000,0.84,9.25,180,BR-002
LN-000222,APP-000222,2900000,0.86,9.25,120,BR-002
LN-000223,APP-000223,1400000,0.75,9.25,180,BR-005
LN-000224,APP-000224,4000000,0.85,8.5,180,BR-004
LN-000225,APP-000225,5400000,0.65,8.5,360,BR-002
LN-000226,APP-000226,3100000,0.77,9.25,240,BR-005
LN-000227,APP-000227,1400000,0.87,10.0,240,BR-002
LN-000228,APP-000228,2300000,0.87,8.5,180,BR-005
LN-000229,APP-000229,6900000,0.86,9.25,180,BR-002
LN-000230,APP-000230,5600000,0.81,9.25,240,BR-004
LN-000231,APP-000231,3200000,0.65,9.25,360,BR-002
LN-000232,APP-000232,3200000,0.84,9.25,360,BR-003
LN-000233,APP-000233,3800000,0.78,8.5,360,BR-004
LN-000234,APP-000234,2200000,0.84,8.5,120,BR-002
LN-000235,APP-000235,3000000,0.88,9.25,180,BR-002
LN-000236,APP-000236,2900000,0.74,8.5,180,BR-003
LN-000237,APP-000237,1400000,0.82,9.25,180,BR-004
LN-000238,APP-000238,4400000,0.89,9.25,180,BR-003
LN-000239,APP-000239,1700000,0.66,8.5,120,BR-005
LN-000240,APP-000240,4800000,0.85,8.5,180,BR-003
LN-000241,APP-000241,4000000,0.64,8.5,180,BR-005
LN-000242,APP-000242,7000000,0.61,9.25,180,BR-004
LN-000243,APP-000243,4800000,0.85,9.25,240,BR-001
LN-000244,APP-000244,2700000,0.89,9.25,180,BR-005
LN-000245,APP-000245,6600000,0.61,9.25,120,BR-002
LN-000246,APP-000246,1900000,0.85,8.5,240,BR-002
LN-000247,APP-000247,6700000,0.81,8.5,180,BR-003
LN-000248,APP-000248,1700000,0.81,9.25,240,BR-003
LN-000249,APP-000249,1800000,0.74,8.5,240,BR-002
LN-000250,APP-000250,3600000,0.73,8.5,360,BR-001
LN-000251,APP-000251,3200000,0.71,8.5,180,BR-004
LN-000252,APP-000252,3200000,0.71,9.25,240,BR-003
LN-000253,APP-000253,7100000,0.88,8.5,120,BR-004
LN-000254,APP-000254,3700000,0.84,9.25,240,BR-005
LN-000255,APP-000255,3500000,0.69,8.5,240,BR-001
LN-000256,APP-000256,10700000,0.82,9.25,180,BR-003
LN-000257,APP-000257,3500000,0.8,8.5,240,BR-002
LN-000258,APP-000258,2300000,0.85,8.5,360,BR-001
LN-000259,APP-000259,2100000,0.63,8.5,180,BR-004
LN-000260,APP-000260,7700000,0.81,9.25,180,BR-005
LN-000261,APP-000261,1900000,0.67,9.25,180,BR-002
LN-000262,APP-000262,2000000,0.67,9.25,240,BR-002
LN-000263,APP-000263,6700000,0.81,9.25,120,BR-005
LN-000264,APP-000264,2100000,0.87,8.5,120,BR-004
LN-000265,APP-000265,1400000,0.85,10.0,180,BR-003
LN-000266,APP-000266,6000000,0.74,9.25,240,BR-001
LN-000267,APP-000267,2800000,0.84,8.5,180,BR-004
LN-000268,APP-000268,6400000,0.61,9.25,360,BR-003
LN-000269,APP-000269,1600000,0.81,9.25,180,BR-005
LN-000270,APP-000270,3400000,0.62,8.5,240,BR-004
LN-000271,APP-000271,4700000,0.67,8.5,120,BR-001
LN-000272,APP-000272,2000000,0.8,8.5,240,BR-002
LN-000273,APP-000273,9100000,0.71,9.25,240,BR-001
LN-000274,APP-000274,6700000,0.69,9.25,180,BR-004
LN-000275,APP-000275,4500000,0.75,9.25,240,BR-004
LN-000276,APP-000276,2800000,0.85,9.25,180,BR-003
LN-000277,APP-000277,8800000,0.73,8.5,240,BR-001
LN-000278,APP-000278,4000000,0.76,9.25,240,BR-004
LN-000279,APP-000279,9500000,0.65,8.5,180,BR-001
LN-000280,APP-000280,7000000,0.73,8.5,240,BR-004
LN-000281,APP-000281,4200000,0.6,9.25,240,BR-003
LN-000282,APP-000282,2200000,0.85,9.25,240,BR-002
LN-000283,APP-000283,2600000,0.66,8.5,180,BR-004
LN-000284,APP-000284,3100000,0.88,9.25,240,BR-003
LN-000285,APP-000285,1900000,0.71,9.25,240,BR-004
LN-000286,APP-000286,7600000,0.85,8.5,240,BR-001
LN-000287,APP-000287,2500000,0.72,9.25,180,BR-002
LN-000288,APP-000288,3400000,0.65,9.25,360,BR-002
LN-000289,APP-000289,2600000,0.75,9.25,240,BR-005
LN-000290,APP-000290,14300000,0.68,8.5,240,BR-005
LN-000291,APP-000291,3900000,0.7,8.5,360,BR-005
LN-000292,APP-000292,4900000,0.69,9.25,180,BR-001
LN-000293,APP-000293,4400000,0.8,10.0,120,BR-001
LN-000294,APP-000294,3600000,0.75,9.25,180,BR-001
LN-000295,APP-000295,1500000,0.64,8.5,240,BR-005
LN-000296,APP-000296,1700000,0.68,9.25,180,BR-004
LN-000297,APP-000297,7800000,0.79,8.5,180,BR-004
LN-000298,APP-000298,6000000,0.83,8.5,240,BR-002
LN-000299,APP-000299,11400000,0.67,9.25,240,BR-001
LN-000300,APP-000300,5000000,0.68,9.25,240,BR-001
LN-000301,APP-000301,1900000,0.74,9.25,180,BR-004
LN-000302,APP-000302,1300000,0.89,8.5,180,BR-003
LN-000303,APP-000303,9700000,0.77,9.25,240,BR-005
LN-000304,APP-000304,4200000,0.84,8.5,240,BR-003
LN-000305,APP-000305,3000000,0.9,10.0,180,BR-002
LN-000306,APP-000306,2000000,0.79,8.5,180,BR-004
LN-000307,APP-000307,1600000,0.76,9.25,240,BR-004
LN-000308,APP-000308,4500000,0.83,9.25,180,BR-002
LN-000309,APP-000309,6600000,0.7,9.25,240,BR-002
LN-000310,APP-000310,1700000,0.89,9.25,240,BR-001
LN-000311,APP-000311,6200000,0.74,8.5,240,BR-003
LN-000312,APP-000312,2800000,0.88,8.5,120,BR-002
LN-000313,APP-000313,1700000,0.83,9.25,180,BR-001
LN-000314,APP-000314,3600000,0.66,9.25,360,BR-002
LN-000315,APP-000315,2200000,0.67,8.5,240,BR-004
LN-000316,APP-000316,4300000,0.8,10.0,240,BR-003
LN-000317,APP-000317,2400000,0.71,9.25,180,BR-001
LN-000318,APP-000318,8900000,0.6,9.25,180,BR-004
LN-000319,APP-000319,2000000,0.86,9.25,180,BR-003
LN-000320,APP-000320,12300000,0.67,8.5,240,BR-003
LN-000321,APP-000321,5200000,0.85,9.25,180,BR-005
LN-000322,APP-000322,3800000,0.74,9.25,180,BR-001
LN-000323,APP-000323,5100000,0.78,8.5,180,BR-002
LN-000324,APP-000324,12500000,0.76,9.25,240,BR-001
LN-000325,APP-000325,16800000,0.88,9.25,240,BR-003
LN-000326,APP-000326,6600000,0.73,9.25,120,BR-002
LN-000327,APP-000327,2600000,0.72,9.25,240,BR-004
LN-000328,APP-000328,4100000,0.78,8.5,180,BR-003
LN-000329,APP-000329,4400000,0.71,9.25,240,BR-004
LN-000330,APP-000330,6900000,0.78,8.5,240,BR-005
LN-000331,APP-000331,4000000,0.77,8.5,180,BR-001
LN-000332,APP-000332,5400000,0.83,8.5,180,BR-002
LN-000333,APP-000333,6700000,0.9,8.5,360,BR-003
LN-000334,APP-000334,5300000,0.89,8.5,240,BR-005
LN-000335,APP-000335,6000000,0.64,9.25,180,BR-003
LN-000336,APP-000336,3000000,0.74,8.5,180,BR-001
LN-000337,APP-000337,4200000,0.73,9.25,360,BR-003
LN-000338,APP-000338,1600000,0.66,8.5,180,BR-001
LN-000339,APP-000339,2800000,0.82,9.25,180,BR-002
LN-000340,APP-000340,3500000,0.89,8.5,180,BR-005
LN-000341,APP-000341,3900000,0.65,8.5,180,BR-005
LN-000342,APP-000342,2300000,0.68,9.25,180,BR-002
LN-000343,APP-000343,3400000,0.86,8.5,180,BR-002
LN-000344,APP-000344,2700000,0.69,8.5,180,BR-005
LN-000345,APP-000345,2100000,0.73,8.5,360,BR-001
LN-000346,APP-000346,2200000,0.82,9.25,240,BR-004
LN-000347,APP-000347,3000000,0.64,9.25,360,BR-005
LN-000348,APP-000348,3800000,0.76,9.25,180,BR-003
LN-000349,APP-000349,7000000,0.63,8.5,180,BR-002
LN-000350,APP-000350,3500000,0.69,9.25,180,BR-003
LN-000351,APP-000351,5000000,0.67,8.5,180,BR-002
LN-000352,APP-000352,3400000,0.82,8.5,360,BR-003
LN-000353,APP-000353,3300000,0.65,9.25,180,BR-002
LN-000354,APP-000354,4100000,0.8,9.25,240,BR-003
LN-000355,APP-000355,3900000,0.77,8.5,360,BR-003
LN-000356,APP-000356,3500000,0.8,8.5,240,BR-003
LN-000357,APP-000357,3300000,0.86,8.5,240,BR-005
LN-000358,APP-000358,2900000,0.76,8.5,240,BR-001
LN-000359,APP-000359,5000000,0.82,9.25,180,BR-004
LN-000360,APP-000360,6800000,0.84,9.25,240,BR-003
LN-000361,APP-000361,3100000,0.81,9.25,240,BR-003
LN-000362,APP-000362,6000000,0.7,9.25,180,BR-003
LN-000363,APP-000363,4300000,0.89,9.25,240,BR-001
LN-000364,APP-000364,7800000,0.62,9.25,180,BR-003
LN-000365,APP-000365,5500000,0.71,9.25,240,BR-005
LN-000366,APP-000366,1800000,0.85,9.25,120,BR-005
LN-000367,APP-000367,6600000,0.7,9.25,180,BR-003
LN-000368,APP-000368,1900000,0.76,9.25,360,BR-001
LN-000369,APP-000369,6200000,0.64,9.25,360,BR-001
LN-000370,APP-000370,3700000,0.86,9.25,240,BR-005
LN-000371,APP-000371,8400000,0.88,9.25,240,BR-002
LN-000372,APP-000372,1600000,0.9,9.25,180,BR-003
LN-000373,APP-000373,4200000,0.62,8.5,180,BR-002
LN-000374,APP-000374,2500000,0.66,9.25,240,BR-001
LN-000375,APP-000375,800000,0.75,8.5,240,BR-001
LN-000376,APP-000376,4100000,0.68,8.5,240,BR-002
LN-000377,APP-000377,9400000,0.89,10.0,240,BR-002
LN-000378,APP-000378,5600000,0.85,9.25,360,BR-004
LN-000379,APP-000379,2900000,0.64,9.25,180,BR-001
LN-000380,APP-000380,3100000,0.6,8.5,240,BR-003
LN-000381,APP-000381,8300000,0.9,9.25,180,BR-005
LN-000382,APP-000382,2900000,0.74,9.25,360,BR-002
LN-000383,APP-000383,8000000,0.62,8.5,180,BR-001
LN-000384,APP-000384,3600000,0.78,8.5,180,BR-004
LN-000385,APP-000385,4200000,0.9,10.0,240,BR-003
LN-000386,APP-000386,1900000,0.84,9.25,180,BR-002
LN-000387,APP-000387,3300000,0.77,9.25,180,BR-001
LN-000388,APP-000388,7200000,0.8,9.25,240,BR-005
LN-000389,APP-000389,2400000,0.84,10.0,240,BR-001
LN-000390,APP-000390,2900000,0.79,9.25,240,BR-005
LN-000391,APP-000391,3200000,0.89,9.25,240,BR-005
LN-000392,APP-000392,7000000,0.9,8.5,180,BR-004
LN-000393,APP-000393,4900000,0.79,9.25,180,BR-001
LN-000394,APP-000394,3900000,0.78,9.25,240,BR-001
LN-000395,APP-000395,4200000,0.7,9.25,240,BR-004
LN-000396,APP-000396,1600000,0.7,9.25,120,BR-002
LN-000397,APP-000397,3600000,0.88,9.25,240,BR-004
LN-000398,APP-000398,2700000,0.8,9.25,240,BR-003
LN-000399,APP-000399,1600000,0.74,9.25,240,BR-003
LN-000400,APP-000400,2000000,0.8,8.5,180,BR-004
LN-000401,APP-000401,19700000,0.64,9.25,240,BR-004
LN-000402,APP-000402,8200000,0.88,9.25,180,BR-005
LN-000403,APP-000403,5100000,0.76,8.5,240,BR-002
LN-000404,APP-000404,2900000,0.8,10.0,240,BR-002
LN-000405,APP-000405,2500000,0.6,9.25,240,BR-003
LN-000406,APP-000406,6700000,0.9,10.0,240,BR-004
LN-000407,APP-000407,4300000,0.89,8.5,240,BR-003
LN-000408,APP-000408,2700000,0.77,9.25,120,BR-004
LN-000409,APP-000409,1400000,0.7,9.25,180,BR-001
LN-000410,APP-000410,5100000,0.73,8.5,240,BR-005
LN-000411,APP-000411,6100000,0.77,8.5,240,BR-003
LN-000412,APP-000412,2700000,0.81,8.5,360,BR-004
LN-000413,APP-000413,3700000,0.65,9.25,240,BR-001
LN-000414,APP-000414,2900000,0.88,9.25,180,BR-005
LN-000415,APP-000415,2500000,0.72,9.25,240,BR-005
LN-000416,APP-000416,2200000,0.79,9.25,360,BR-005
LN-000417,APP-000417,4000000,0.87,9.25,240,BR-003
LN-000418,APP-000418,4500000,0.77,8.5,180,BR-005
LN-000419,APP-000419,4000000,0.81,9.25,240,BR-001
LN-000420,APP-000420,7700000,0.89,10.0,240,BR-001
LN-000421,APP-000421,1600000,0.67,9.25,240,BR-003
LN-000422,APP-000422,1100000,0.89,9.25,360,BR-003
LN-000423,APP-000423,3100000,0.74,8.5,240,BR-003
LN-000424,APP-000424,5400000,0.63,9.25,180,BR-001
LN-000425,APP-000425,3500000,0.9,9.25,240,BR-002
LN-000426,APP-000426,1600000,0.8,9.25,240,BR-005
LN-000427,APP-000427,2400000,0.78,9.25,180,BR-003
LN-000428,APP-000428,1000000,0.9,10.0,180,BR-005
LN-000429,APP-000429,3000000,0.76,8.5,240,BR-002
LN-000430,APP-000430,1800000,0.71,8.5,180,BR-004
LN-000431,APP-000431,4700000,0.65,9.25,180,BR-003
LN-000432,APP-000432,6500000,0.84,9.25,240,BR-001
LN-000433,APP-000433,1300000,0.7,9.25,360,BR-005
LN-000434,APP-000434,2000000,0.75,9.25,180,BR-004
LN-000435,APP-000435,2200000,0.75,8.5,240,BR-002
LN-000436,APP-000436,7000000,0.82,9.25,180,BR-002
LN-000437,APP-000437,18600000,0.81,8.5,180,BR-001
LN-000438,APP-000438,4100000,0.73,9.25,240,BR-001
LN-000439,APP-000439,4600000,0.73,9.25,240,BR-005
LN-000440,APP-000440,1900000,0.68,9.25,180,BR-001
LN-000441,APP-000441,4000000,0.7,8.5,360,BR-001
LN-000442,APP-000442,2200000,0.9,10.0,240,BR-002
LN-000443,APP-000443,3100000,0.77,9.25,360,BR-001
LN-000444,APP-000444,3200000,0.62,8.5,180,BR-002
LN-000445,APP-000445,2300000,0.75,9.25,240,BR-003
LN-000446,APP-000446,2800000,0.9,10.0,180,BR-002
LN-000447,APP-000447,5400000,0.63,9.25,240,BR-001
LN-000448,APP-000448,8300000,0.63,9.25,120,BR-002
